w_um,l_um,metric_name,target_value,simulated_value,relative_error
2.7,1.5,isoff_a,1.59346612347e-12,1.63169e-12,0.023987881491174767
2.7,2.7,vtlin_v,0.288835131451,0.277965,0.037634381234694265
2.7,2.7,vtsat_v,0.251699555199,0.260766,0.036020901164612054
2.7,2.7,idlin_a,1.43415861016e-05,1.44765e-05,0.009407181147484683
2.7,2.7,idsat_a,0.000163454401447,0.000160765,0.01645352724179795
2.7,2.7,idoff_a,2.52767610748e-12,2.55543e-12,0.010980003505144331
2.7,2.7,isoff_a,7.70686711109e-13,7.55432e-13,0.019793660496687248
5.4,0.028,vtlin_v,0.525302185781,0.538987,0.02605131786888332
5.4,0.028,vtsat_v,0.30749315197,0.310769,0.010653401576629681
5.4,0.028,idlin_a,0.00079405239367,0.000785321,0.010995991876108745
5.4,0.028,idsat_a,0.0153614349993,0.0153111,0.0032767120586257026
5.4,0.028,idoff_a,2.2024231878e-11,2.1485e-11,0.024483572502641396
5.4,0.028,isoff_a,1.91933328275e-11,1.9685e-11,0.025616560548335113
5.4,0.056,vtlin_v,0.577103451371,0.585699,0.014894294270082492
5.4,0.056,vtsat_v,0.463580436747,0.471489,0.01705974330689046
5.4,0.056,idlin_a,0.000437183400071,0.00043679,0.0008998513459936986
5.4,0.056,idsat_a,0.0054944556595,0.00560159,0.019498626822979783
5.4,0.056,idoff_a,1.89038493056e-12,1.82362e-12,0.035318166940857994
5.4,0.056,isoff_a,2.3149735187e-14,2.3622e-14,0.020400441265747478
5.4,0.14,vtlin_v,0.434388265256,0.423584,0.024872369076620087
5.4,0.14,vtsat_v,0.388118158925,0.379484,0.022246212207423382
5.4,0.14,idlin_a,0.000275077476325,0.000270421,0.0169278720570288
5.4,0.14,idsat_a,0.0032779293822,0.00319771,0.024472577913243688
5.4,0.14,idoff_a,2.1105120897e-12,2.1213e-12,0.005111513150125251
5.4,0.14,isoff_a,3.29476475819e-13,3.21301e-13,0.024813534255147464
5.4,0.28,vtlin_v,0.323717267552,0.330236,0.020137116865268447
5.4,0.28,vtsat_v,0.312018453013,0.300865,0.035746132657530114
5.4,0.28,idlin_a,0.000189280979493,0.000185966,0.017513537291910505
5.4,0.28,idsat_a,0.00212215847411,0.00219147,0.03266086238873768
5.4,0.28,idoff_a,4.85338104779e-12,4.97246e-12,0.024535257182046865
5.4,0.28,isoff_a,3.22158101146e-12,3.17246e-12,0.01524748602790487
5.4,0.56,vtlin_v,0.269848423206,0.278833,0.033294901957389794
5.4,0.56,vtsat_v,0.246658047357,0.254742,0.03277392620926626
5.4,0.56,idlin_a,0.000111023219638,0.000112407,0.012463882478925731
5.4,0.56,idsat_a,0.00135533198913,0.00136636,0.00813675981858817
5.4,0.56,idoff_a,9.6107004858e-12,9.74682e-12,0.014163329135177873
5.4,0.56,isoff_a,7.70370971679e-12,7.94682e-12,0.03155756020766841
5.4,1.5,vtlin_v,0.251271100166,0.26116,0.03935550020462748
5.4,1.5,vtsat_v,0.252586108301,0.242636,0.039392935612843426
